"trial_num","choice1","choice2","state","pos1","pos2","rts1","rts2","money","stim1.ons.sl","stim1.ons.ms","stim2.ons.sl","stim2.ons.ms","choice1.ons.sl","choice1.ons.ms","choice2.ons.sl","choice2.ons.ms","rew.ons.sl","rew.ons.ms","id"
96,1,2,3,1,1,0.845847485703416,0.650153195354505,0,428171.480851844,428171.472276583,432173.749779999,432173.739744723,429029.307714462,429029.30008921,432845.336992696,432845.32871744,436175.707805663,436175.698030382,"00829"
97,1,1,2,0,1,0.91057231349987,1.10649982193718,1,437679.773152992,437679.764282927,441682.044936359,441682.03537108,438605.553869233,438605.547369182,442797.080846652,442797.073416591,445684.025817007,445684.016672149,"00829"
98,1,1,3,0,1,0.894515971900546,0.818761369650019,0,447191.408106074,447191.398826003,451193.676294208,451193.66688934,448101.33488068,448101.328125432,452020.954462439,452020.947082385,455199.430470243,455199.422280177,"00829"
99,2,2,3,1,0,1.35848981847812,1.10698029641935,0,456703.334141463,456703.32330139,460705.699820399,460705.690365523,458077.14702718,458077.140681937,461820.95727247,461820.950072408,464707.698321581,464707.688156307,"00829"
100,1,1,2,0,0,2.86229031889525,0.900260000373237,1,466215.145635962,466215.137015909,470217.456784457,470217.447864398,469092.809227273,469092.801312417,471126.183329478,471126.174824208,474219.480345845,474219.469785765,"00829"
101,2,1,3,1,0,1.09632585725922,0.772244431063882,1,0.441458329558372,0.434343472123146,4002.75801205635,4002.74884678423,1100.21792173386,1100.21095648408,4788.15718005598,4788.14985518157,8004.81758333743,8004.80712845922,"00829"
102,2,1,2,1,0,0.431562245590612,0.588208933957503,0,9517.14990198612,9517.14109192789,13519.5931367278,13519.5831666589,9964.03207705915,9964.02468699217,14115.9635924995,14115.9565024376,17521.6843182743,17521.6748981923,"00829"
103,1,2,2,1,1,0.943706597958226,0.596199672698276,1,19028.877071023,19028.8684957474,23031.1989195943,23031.1895343065,19987.9903287292,19987.9835038632,23635.8308514506,23635.8239213824,27033.3699269593,27033.3588116616,"00829"
104,2,1,3,1,0,1.06363721218077,0.643814528812072,1,28544.7026724219,28544.6942423433,32548.1271298081,32548.1177549362,29619.7739029825,29619.76655294,33211.9675757289,33211.9609156847,36550.2734369785,36550.2256965935,"00829"
105,2,1,3,1,0,0.478647933312459,0.611779602535535,1,38069.2474339753,38069.2388487011,42071.5716325641,42071.5620472878,38563.4065420479,38563.3991319984,42691.7751989961,42691.7686741352,46077.1676021367,46077.1590420604,"00829"
